txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,merchant_name,mcc_m,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,complaint_id,user_id_cb,merchant_id_cb,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,is_chargeback
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,5411.0,COMPLETED,,,,,,,,,,,CBK0000591,usr_62847,MCH-3840,16/01/2026 05:31 AM,02/03/2026,"8,004.21",amount mismatch,User claims account was compromised before transaction.,CLOSED,24-Mar-2026,P1,Call Center,1
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,0.6362,UTR7656190355,4131.0,TXN_FAILED,,,,,,,,,,,CBK0001691,USR15365,MCH4695,12/02/2026,22/02/2026 12:37 PM,4163.19,Merchant Not Delivered,Customer says amount was debited twice.,Rejected,2026/02/28,Low,IVR,1
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,5411.0,S,,,,,,,,,,,,,,,,,,,,,,,0
TXN00006448,,USR54287,MCH6928,12110.49,UTR5257823698,5411.0,S,Tata-Wagle,5912,CHEMIST,PARTNERSHIP,Bengaluru,Karnataka,1703998737,RIXU6958241048195,A,"Rs. 1,008",,,,,,,,,,,,,0
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,0.19432,UTR4204272894,4131.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,0.18866,UTR2080442730,5812.0,SUCCESS,"parmar, sahota and rajagopalan",05999,MISCELLANEOUS,SOLE-PROPRIETOR,Poona,Maharashtra,23/02/2024,GSZT9943608461358,Enabled,3042.0,,,,,,,,,,,,,0
TXN00015249,,USR18691,MCH7856,19982.69,UTR5471158093,,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00007121,,USR16629,MCH7753,0.22687,UTR3330570580,5411.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,,S,"  Dhar, Thaker and Madan  ",5999.0,MISC RETAIL,private_limited,Calcutta,West Bengal,08-11-2024,IKTX4120845617487,Enabled,"1,785.10",,,,,,,,,,,,,0
TXN00002541,,USR51755,MCH2949,16466.93,UTR 2787678319,5411.0,FAILED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00003797,2026-03-14 12:21:17,USR81003,MCH5292,13312.0,UTR2464640119,,Success,Nori-Dugal,MCC-5999,OTHER,SOLE_PROPRIETOR,Poona,Maharashtra,,DLCF1511984552623,INACTIVE,Rs. 542,,,,,,,,,,,,,0
TXN00000092,2026-01-27 23:43:31,USR70687,MCH4523,17833.99,UTR5315091377,5411.0,SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00004622,,USR37834,MCH5213,0.19118,UTR1692756805,5812.0,SUCCESS,Keer-Yadav,07011,HOTEL_LODGING,PRIVATE-LIMITED,jalandhar,Punjab,04/09/2023 05:38 PM,NHOQ3812159504524,ACTIVE,"INR 2,157.19",CBK0001268,USR97580,mch1348,01-24-2026,24/01/2026 05:29 PM,1330.95,item not received,Merchant service was not delivered after payment.,Rejected,31/01/2026,M,IVR,1
TXN00001542,2026-02-21 01:33:17,USR78386,MCH4890,2680.85,UTR3430344329,5912.0,Success,,,,,,,,,,,,,,,,,,,,,,,0
TXN00002592,2026-02-21 05:47:48,USR21114,MCH9819,0.201,UTR3572682179,,Initiated,,,,,,,,,,,,,,,,,,,,,,,0
TXN00017665,,USR96222,MCH6009,16257.95,UTR4021669116,5411.0,Pending,"Nagar, Chowdhury and Raghavan",UNKNOWN,STATIONERY,Private Limited,Pune,Maharashtra,,XXXX6864,Active,1266.03,,,,,,,,,,,,,0
TXN00002012,2026-03-06 13:48:49,USR13976,MCH8222,1575.7,UTR0496925866,5411.0,TXN_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,0
TXN00015655,,USR55935,MCH8480,18230.29,UTR6094940155,,TXN_SUCCESS,Doshi-Sarin,MCC-4131,TRANSPORTATION,INDIVIDUAL,pune,Maharashtra,2023/07/02,,Live,-1310.85,,,,,,,,,,,,,0
TXN00011091,,USR13890,MCH8216,23820.57,UTR6527062794,4131.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,,,0
TXN00008584,,USR15778,MCH3250,5546.0,UTR0928079796,5912.0,Success,Bose-Kalita,5311,DEPARTMENT STORES,Sole Proprietor,MUMBAI,Maharashtra,,,I,"1,514.47",,,,,,,,,,,,,0
